word,info_gain
great,0.06439398698916898
!,0.051487939825296536
good,0.04702635455552828
amazing,0.04054098176977128
to_NEG,0.04010263076139475
back_NEG,0.03992182435491687
worst,0.039585073091298995
the_NEG,0.038596177823044364
delicious,0.035578895933932486
minutes,0.03178207607923156
asked,0.031326718327026715
told,0.03106447179176497
horrible,0.03091622035026198
terrible,0.025632834951662353
ok,0.02545084461736513
bad,0.02542484027456693
said,0.025135013870935197
and_NEG,0.025112686287792396
rude,0.0251025687685984
best,0.02425525181577992
manager,0.023920754500785346
friendly,0.023667666402069187
pretty,0.023209444177654248
recommend,0.022127347291880817
disappointed,0.021222736287817234
?,0.020882229354004522
it_NEG,0.02080341005383035
was_NEG,0.02063197016934426
would,0.020574522813451068
again_NEG,0.02014983026948336
not_NEG,0.020148432120955295
for_NEG,0.019791029422145723
awesome,0.01953091281476027
a_NEG,0.019519780373861373
this_NEG,0.01868680596101635
it,0.01849562943474936
love,0.018198276994042306
waited,0.01806800245262785
nothing,0.018003128086133913
i_NEG,0.017454601453623653
decent,0.017042815888336005
excellent,0.0166650133875077
definitely,0.016516391689514354
that_NEG,0.016143898218078157
of_NEG,0.016103114296842413
at_NEG,0.015740596603851742
ordered,0.015559424895323914
or_NEG,0.015348206760837702
left,0.015080545908870313
only,0.015071840082248933
highly,0.014805948393774582
took,0.014659383626036693
poor,0.014635975296598325
she,0.014501041427978478
another,0.014091962299587202
us_NEG,0.014081940898486689
in_NEG,0.01407758484245214
we_NEG,0.013938462218494596
bit,0.013798141790583696
my_NEG,0.013787012230033202
perfect,0.013712155101289536
however,0.013513442015145039
awful,0.01345291781490987
like,0.013432879982689716
bland,0.013290795400634714
slow,0.013163677921309347
okay,0.013122654930244781
better,0.013002903687629797
mediocre,0.012852588640846818
favorite,0.01272799822089521
average,0.012475934908621422
could,0.012362181250784587
our_NEG,0.01235847006284363
little,0.012308980726000396
cold,0.012217106720102233
overall,0.012182093792505011
on_NEG,0.012130960178216021
be_NEG,0.012117630611609975
tasty,0.011990729620274365
order,0.011707957883221987
there_NEG,0.011645189215309326
maybe,0.011585254790534627
disappointing,0.011504369027008021
dry,0.011501992739652689
nice,0.011498410117125157
waiting,0.01128099104653435
finally,0.011228678357507516
they_NEG,0.011223737135173995
if_NEG,0.011032824161709254
they,0.011013425238470376
me_NEG,0.010955225413676217
fantastic,0.0108428595159622
wrong,0.010758111484664656
money,0.010465016541482797
seemed,0.010264039981846107
fresh,0.009945068260804213
waitress,0.009788459278945894
special_NEG,0.009775615645193358
disgusting,0.009642782574641462
food_NEG,0.009572100796944483
notderful,0.009476887832441161
called,0.009458500762746347
always,0.009452411711640352
bill,0.009381890409011273
came,0.009344154293268403
later,0.009296926676850337
all_NEG,0.009280326556296181
though,0.009153243010429968
would_NEG,0.009070588597386742
money_NEG,0.009046909704134798
even_NEG,0.009027174514313785
stars,0.008940358637937074
table,0.00893493849370186
empty,0.008878276976209687
here_NEG,0.008725224222780437
paid,0.0087000584277237
loved,0.008694952888570473
customer,0.008679586758748137
overpriced,0.008671146901464422
were_NEG,0.008644321263994392
worse,0.008621250785574297
still,0.008323545992726444
up_NEG,0.00822307649950238
someone,0.008146345254948173
with_NEG,0.008083288420624779
dirty,0.008073983518722017
ever,0.0080487355724439
got,0.007993717632144293
us,0.007890927371497547
guess,0.007880946423518331
atmosphere,0.007876856344259497
he,0.007862273007201992
charged,0.007793855216158718
service_NEG,0.0077589523276779815
time_NEG,0.0076989568286327525
going_NEG,0.007632061565317372
more,0.007631949112107517
enjoyed,0.007629737534384784
she_NEG,0.007605267563524976
any_NEG,0.007587170984660663
get,0.007528337489340675
returning_NEG,0.007479463301575784
walked,0.0074258394257524785
sorry,0.0073895256903857565
worth,0.007366958779677191
had_NEG,0.007291642144418908
..._NEG,0.00728610469503721
out_NEG,0.007283921279241046
no_NEG,0.007233006246773144
went,0.007231872735666389
management,0.007227806924406277
unfortunately,0.007135398415345495
some,0.007041648253012234
what_NEG,0.007004059423181719
probably,0.006997091294779434
looked,0.006984544135105075
menu,0.0069350635390179605
is_NEG,0.0068852810631572225
thank,0.0068762263238490995
them_NEG,0.006845189319584222
will_NEG,0.006843597107847543
meh,0.006806905110229078
perfectly,0.006784949205354884
pay,0.006720898973505474
about_NEG,0.006650525002847907
her_NEG,0.006618058171748764
good_NEG,0.006609076542867243
really,0.006525998034843994
tasted,0.006492401833581685
did_NEG,0.006441532322883692
as_NEG,0.006324662356975708
your_NEG,0.006316351799341202
zero,0.006294955800485891
attentive,0.0062931992749284404
gross,0.006258052638874911
yummy,0.006238005382116718
else,0.006232848827349979
wanted,0.006218333014417432
instead,0.006184284967141629
order_NEG,0.006182693146910001
have_NEG,0.006167107451113818
tables,0.006155985405967179
selection,0.0061274126817894015
think,0.006024844461745449
give,0.005996035170355629
fine,0.005976411960426642
so_NEG,0.0059026868413227795
fries,0.005891761754975633
when_NEG,0.005870998422398799
after_NEG,0.005829651097452704
because_NEG,0.005803013558540293
than,0.005727275490451156
two,0.005720880022551
just_NEG,0.005714591475233455
customer_NEG,0.005712126087651814
soggy,0.005705811487075607
phone,0.00565799514622034
disappointment,0.005643898154170657
tasteless,0.005588009678684447
sat,0.005567565079034775
place_NEG,0.005561051430937436
helpful,0.005543837827672871
least,0.0055292110317730625
...,0.0055262290490381005
do_NEG,0.005519651665313319
food,0.005512812930740463
customers_NEG,0.005485700410644778
spot,0.005455264592108655
manager_NEG,0.005407236046313102
attitude,0.005372873695838276
business_NEG,0.005338304603689892
get_NEG,0.005301800678124469
