"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories"
"1",156595,"Bahía Centroamerica Restaurant","Las Vegas","NV","89146",36.159578,-115.208656,"1","Honduran, Salvadoran, Nicaraguan, Mexican, Latin American, Restaurants"
"2",115055,"La Catracha","Charlotte","NC","28217",35.1357549,-80.8776375,"1","Honduran, Breakfast & Brunch, Restaurants, Latin American"
"3",146350,"Rincon Catracho","Las Vegas","NV","89119",36.113966,-115.136829,"1","Restaurants, Honduran, Mexican, Latin American, Chinese"
"4",8359,"Antojitos Catrachos","Charlotte","NC","28212",35.2016526,-80.7369024,"1","Honduran, Restaurants, Mexican, Latin American"
"5",111363,"Taste Of Honduras","Phoenix","AZ","85021",33.5519381,-112.1004063,"1","Honduran, Restaurants"
"6",9339,"Lempira Restaurant","Charlotte","NC","28217",35.154807,-80.8765605,"1","Mexican, Restaurants, Latin American, Salvadoran, Honduran"
